Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Antigua and Barbuda,ATG,"Population ages 65 and above, total",SP.POP.65UP.TO,2142,2245,2382,2535,2681,2804,2904,2981,3037,3077,3170,3325,3492,3671,3856,4046,4241,4437,4630,4819,5004,5180,5356,5530,5658,5738,5788,5806,5795,5755,5689,5643,5616,5580,5554,5533,5504,5479,5468,5476,5514,5563,5602,5622,5638,5659,5693,5753,5836,5947,6103,6300,6514,6734,6969,7252,7598,7960,8299,8655,9059,9493,9961,10488
Australia,AUS,"Population ages 65 and above, total",SP.POP.65UP.TO,876100,894050,917544,935826,952912,970027,990037,999382,1012156,1027633,1043935,1079307,1105847,1134637,1176927,1209896,1245825,1283639,1323888,1365939,1408551,1451946,1494350,1530916,1568279,1614246,1669875,1726864,1781574,1834847,1887174,1942287,1994928,2041998,2087652,2132959,2180216,2223528,2263796,2304818,2347791,2398537,2447166,2496135,2545559,2599785,2657094,2725828,2800068,2888223,2980739,3082659,3202701,3322662,3435524,3548454,3665120,3784212,3904495,4039654,4190759,4302098,4441967,4634398
Austria,AUT,"Population ages 65 and above, total",SP.POP.65UP.TO,861188,879506,898588,916420,937073,957730,978662,1000804,1019605,1035708,1050397,1065416,1081310,1097144,1112577,1126161,1136979,1148847,1159241,1165605,1162063,1142835,1115260,1086334,1070415,1073244,1085795,1101940,1118348,1133593,1148145,1160822,1171074,1181601,1193038,1204214,1213875,1221861,1228429,1233066,1237037,1243611,1249623,1256726,1285743,1333950,1379169,1412559,1438035,1462699,1476914,1488347,1513159,1543281,1571509,1595561,1616276,1637256,1658710,1681883,1709344,1743054,1789360,1841330
Azerbaijan,AZE,"Population ages 65 and above, total",SP.POP.65UP.TO,180480,182952,184436,186495,189855,193173,196829,200585,204363,208092,211681,215554,219496,223301,227027,230392,232437,233299,234297,235396,236100,236661,236389,239228,242709,246625,250362,253444,259561,270042,284300,299816,317393,340805,363068,382201,395067,403288,413179,425575,445451,469318,494394,518274,537061,550645,558877,558312,554520,545371,533109,526793,527848,535296,545000,559176,580239,605051,633052,664374,694747,724513,763321,813388
Burundi,BDI,"Population ages 65 and above, total",SP.POP.65UP.TO,87280,89701,92347,94872,98019,100907,103512,106395,109166,111819,114533,117487,117635,117601,120612,123665,126435,129474,132769,135613,140229,144558,147020,149746,152115,154056,155408,156932,157690,157659,157653,157341,157684,150384,149277,155015,151743,149513,150896,153245,155265,158199,161947,166487,172135,177766,183198,188949,195770,204826,213208,219282,225682,232681,238925,245603,255068,266506,279971,294283,307233,319194,331142,343646
Belgium,BEL,"Population ages 65 and above, total",SP.POP.65UP.TO,1097344,1113548,1132542,1151085,1173390,1198289,1221973,1246026,1264050,1278367,1291286,1304973,1322806,1340195,1356509,1370951,1381192,1392988,1406534,1418278,1421212,1407566,1383899,1356685,1343447,1355346,1378249,1403102,1432714,1461343,1487644,1514272,1538559,1561312,1584622,1611623,1639705,1665977,1688121,1706442,1722748,1738368,1754490,1771307,1789891,1804439,1809898,1814739,1828049,1846127,1865026,1904218,1942539,1977490,2013388,2047812,2080071,2114062,2149271,2186334,2218184,2253753,2308850,2374609
Benin,BEN,"Population ages 65 and above, total",SP.POP.65UP.TO,151039,150531,150356,150453,150772,151288,151922,152646,153516,154518,155638,156857,158172,159573,160992,162419,163880,165376,166895,168430,170002,171604,173242,174910,176651,178508,180521,182704,185076,187627,190304,193106,196081,201140,205287,207233,210370,214358,218805,223471,228389,233551,238936,244696,251024,258283,265861,273664,282172,291047,300174,309214,317959,326933,336008,345095,354614,364546,375002,386037,397329,408711,421389,435732
Burkina Faso,BFA,"Population ages 65 and above, total",SP.POP.65UP.TO,126194,130502,134826,139258,143886,148757,153874,159265,164894,170641,176524,182468,188429,194537,200939,207664,214710,222152,229864,237669,245558,253442,261274,269116,276838,284257,291194,297591,303516,308996,314019,318424,322339,325995,329409,332632,335640,338586,342105,346358,351049,356417,362632,369576,377153,385298,393920,403053,413068,424367,436810,450013,463008,472465,479332,487555,497582,509194,522159,536455,551754,567297,584032,603440
Bangladesh,BGD,"Population ages 65 and above, total",SP.POP.65UP.TO,1511678,1545034,1584486,1629122,1679856,1736335,1798491,1867607,1942011,2018980,2091929,2100485,2119754,2214790,2314702,2421034,2535765,2652832,2770291,2886307,2999412,3108774,3214264,3316270,3415070,3509757,3600391,3686898,3767512,3841216,3908176,3964699,4016859,4072019,4129270,4191481,4261304,4341322,4433162,4538077,4657119,4783190,4917277,5065776,5224282,5390550,5566024,5752915,5953733,6171194,6406569,6671649,6961183,7242497,7513709,7813922,8156764,8529190,8925326,9338298,9703716,10015627,10392030,10837653
Bulgaria,BGR,"Population ages 65 and above, total",SP.POP.65UP.TO,586211,607139,626053,642156,660005,685817,714696,736975,761760,787995,815277,844520,871628,897522,923293,948587,972905,998382,1008769,1022121,1049551,1050768,1025539,999918,996791,1018156,1048062,1078473,1106643,1127410,1148533,1177068,1202267,1225819,1249146,1269876,1287095,1302031,1318736,1338462,1354881,1345682,1331869,1331162,1329303,1327845,1326394,1325916,1328275,1333264,1342096,1360843,1384412,1406141,1428587,1450656,1466624,1476747,1487263,1498356,1503765,1492692,1441422,1407449
