"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Armenia","ARM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.431","61.803","62.125","62.223","62.418","62.754","62.945","63.213","63.334","63.656","63.873","64.208","64.535","64.611","64.825","64.962","65.161","65.364","65.701","66.041","66.177","66.579","66.89","67.195","67.507","67.93","68.18","68.095","53.9","68.703","68.821","68.643","68.627","68.841","69.073","69.311","69.783","69.91","70.514","70.257","70.624","70.932","71.018","71.436","71.421","71.792","71.987","72.327","72.398","72.813","73.16","73.305","73.454","73.676","74.058","74.436","74.664","74.906","75.064","75.439","72.173","72.043","73.372","",
"American Samoa","ASM","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","61.55","62.363","63.192","64.101","65.058","66.026","66.956","67.859","68.671","69.535","70.058","70.683","71.016","71.349","71.747","71.977","72.359","72.546","72.871","73.035","73.183","73.338","73.458","73.471","73.524","73.566","73.556","73.554","73.53","73.416","73.492","73.435","73.417","73.482","73.591","73.636","73.829","73.96","74.041","74.347","74.606","75.078","75.536","75.478","75.672","75.825","75.765","76.131","76.41","76.669","76.82","77.104","77.35","77.583","77.858","77.913","78.152","78.268","78.511","78.691","78.841","78.497","79.236","",
"Australia","AUS","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","70.8170731707317","70.9731707317073","70.9424390243903","70.9117073170732","70.8809756097561","70.850243902439","70.819512195122","70.8692682926829","70.9190243902439","70.9687804878049","71.0185365853659","71.0682926829268","71.4575609756098","71.8468292682927","72.2360975609756","72.6253658536586","73.0146341463415","73.3443902439024","73.6741463414634","74.0039024390244","74.3336585365854","74.6634146341463","74.9048780487805","75.1463414634146","75.3878048780488","75.6292682926829","75.8707317073171","76.1517073170732","76.4326829268293","76.7136585365854","76.9946341463415","77.2756097560976","77.3780487804878","77.8780487804878","77.8780487804878","77.8292682926829","78.0780487804878","78.4804878048781","78.6317073170732","78.9317073170732","79.2341463414634","79.6341463414634","79.9365853658537","80.2390243902439","80.490243902439","80.8414634146341","81.0414634146342","81.2926829268293","81.3951219512195","81.5439024390244","81.6951219512195","81.8951219512195","82.0463414634146","82.1487804878049","82.3","82.4","82.4487804878049","82.5","82.7487804878049","82.9","83.2","83.3","83.2","",
"Austria","AUT","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","68.5856097560976","69.5773170731707","69.309512195122","69.4436585365854","69.9219512195122","69.7221951219512","70.0458536585366","69.9178048780488","70.0575609756098","69.8331707317073","69.9146341463415","70.1146341463415","70.4634146341463","71.0146341463415","71.0121951219512","71.1146341463415","71.5658536585366","71.9146341463415","72.0121951219512","72.3121951219512","72.4634146341463","72.8121951219512","72.9609756097561","73.0121951219512","73.6121951219512","73.8146341463415","74.3170731707317","74.7682926829268","75.2170731707317","75.2658536585366","75.5682926829269","75.6170731707317","75.8170731707317","76.0682926829268","76.419512195122","76.6682926829268","76.8707317073171","77.319512195122","77.6707317073171","77.8756097560976","78.1268292682927","78.5756097560976","78.6780487804878","78.6317073170732","79.1804878048781","79.3317073170732","79.8804878048781","80.1804878048781","80.4317073170732","80.3317073170732","80.5804878048781","80.9829268292683","80.9365853658537","81.1365853658537","81.490243902439","81.190243902439","81.6414634146342","81.6439024390244","81.6926829268293","81.8951219512195","81.1926829268293","81.190243902439","81.0926829268293","",
"Azerbaijan","AZE","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","55.837","56.192","56.516","56.898","57.196","57.619","57.672","57.973","58.367","58.599","59.018","59.353","59.803","60.045","60.228","60.337","60.521","60.627","60.713","60.867","61.081","61.291","61.447","61.96","61.956","62.093","62.194","62.569","62.729","62.582","62.352","62.052","61.296","61.286","61.594","62.305","62.622","62.973","63.561","64.189","64.891","65.51","66.239","66.756","67.346","67.562","68.165","68.603","68.811","69.356","69.529","69.984","70.36","70.881","71.116","71.451","72.004","72.248","72.76","73.102","66.868","69.366","73.488","",
"Burundi","BDI","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","43.024","43.252","43.441","43.718","43.974","42.005","43.531","43.341","43.378","42.874","43.041","42.965","25.613","37.275","43.012","42.982","43.144","43.513","43.764","44.59","45.406","46.393","47.29","48.051","48.491","48.541","48.164","47.516","43.04","45.62","44.86","44.227","43.895","37.105","44.08","44.059","44.373","45.387","46.552","47.528","47.514","48.431","49.891","50.857","52.01","53.023","53.869","54.727","55.71","56.388","57.081","57.769","58.493","59.235","59.868","60.217","60.793","61.553","61.688","62.351","61.566","61.663","61.977","",
"Belgium","BEL","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","69.7019512195122","70.5209756097561","70.219512195122","70.0514634146342","70.7551219512195","70.6253658536586","70.7063414634146","71.0129268292683","70.6931707317073","70.7648780487805","70.9719512195122","71.0604878048781","71.4051219512195","71.6353658536586","71.9858536585366","71.9712195121951","72.119756097561","72.7739024390244","72.6980487804878","73.1936585365854","73.2070731707317","73.6217073170732","73.8880487804878","73.8690243902439","74.4048780487805","74.520243902439","74.7317073170732","75.3658536585366","75.5658536585366","75.6326829268293","76.0519512195122","76.1921951219512","76.3512195121951","76.3453658536585","76.6917073170732","76.8407317073171","77.1873170731707","77.3707317073171","77.4731707317073","77.619512195122","77.7219512195122","77.9731707317073","78.0756097560976","78.1292682926829","78.8780487804878","78.9804878048781","79.380487804878","79.7829268292683","79.6804878048781","80.0341463414634","80.1829268292683","80.5853658536585","80.3853658536585","80.5878048780488","81.2878048780488","80.9926829268293","81.4390243902439","81.4926829268293","81.5951219512195","81.9951219512195","80.6951219512195","81.790243902439","81.6975609756098","",
"Benin","BEN","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","38.181","38.542","38.928","39.334","39.758","40.184","40.648","41.055","41.522","41.849","42.189","42.581","43.158","43.596","44.085","44.681","45.488","46.176","46.961","47.362","47.877","48.31","48.813","49.333","49.747","50.374","51.075","51.659","52.294","52.684","53.292","53.624","54.089","54.537","54.91","55.295","55.558","55.978","56.218","56.526","56.578","56.66","56.606","56.738","56.826","57.125","57.456","57.675","57.869","57.956","58.363","58.462","58.716","58.965","59.125","59.377","59.539","59.856","60.14","60.454","60.088","59.821","59.954","",
"Burkina Faso","BFA","Life expectancy at birth, total (years)","SP.DYN.LE00.IN","35.872","36.24","36.665","36.974","37.251","37.691","37.916","38.294","38.531","38.857","39.239","39.559","40.053","40.548","41.354","42.307","43.245","44.147","45.073","45.903","46.539","46.872","47.602","48.091","48.638","48.949","49.013","49.058","49.132","49.174","49.44","49.45","49.437","49.209","49.307","49.446","49.614","49.4","49.991","50.325","50.847","51.071","51.272","51.793","52.416","53.092","53.742","54.375","55.342","55.959","56.477","57.125","57.619","57.823","58.359","58.845","59.326","59.536","60.047","60.039","59.731","59.27","59.766","",
