Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,"Population, male",SP.POP.TOTL.MA.IN,904881,936945,969185,1001432,1033505,1065208,1096362,1126876,1156611,1184777,1210380,1234438,1258836,1284119,1310217,1337130,1367477,1402332,1439570,1467161,1482680,1496626,1510578,1524929,1540992,1557519,1573120,1588431,1600313,1643888,1698698,1729672,1708594,1649380,1605180,1576984,1563082,1547568,1523824,1492700,1505674,1493713,1486459,1477635,1468638,1459166,1449250,1439098,1427063,1412894,1398412,1388724,1388000,1388125,1385447,1382219,1377472,1372328,1369034,1368115,1369076,1370352,1374836,1387410
American Samoa,ASM,"Population, male",SP.POP.TOTL.MA.IN,10506,10775,11089,11422,11774,12146,12516,12883,13266,13653,13987,14252,14492,14722,14951,15216,15510,15808,16108,16385,16791,17406,18098,18809,19537,20290,21063,21854,22665,23499,24244,24852,25409,25952,26484,27003,27508,27999,28468,28899,29168,29227,29196,29122,29018,28890,28743,28590,28419,28231,28057,27886,27684,27440,27163,26861,26532,26180,25810,25421,25170,24888,24430,24001
Antigua and Barbuda,ATG,"Population, male",SP.POP.TOTL.MA.IN,26556,27038,27442,27848,28254,28651,29032,29410,29799,30210,30517,30610,30538,30384,30228,30102,30048,30088,30163,30269,30382,30448,30494,30558,30614,30639,30648,30649,30656,30683,30721,30966,31393,31806,32252,32738,33257,33795,34313,34797,35306,35809,36258,36684,37105,37553,38051,38603,39208,39839,40411,40916,41379,41777,42124,42443,42721,42969,43200,43424,43667,43919,44170,44408
Australia,AUS,"Population, male",SP.POP.TOTL.MA.IN,5192631,5295783,5421149,5521204,5628081,5737431,5867440,5939407,6043351,6169940,6290474,6503400,6621242,6720804,6889712,6969644,7032951,7105492,7181751,7253654,7337415,7450293,7581428,7687228,7780438,7886038,8001483,8121372,8251555,8389840,8511912,8616571,8708711,8782324,8864100,8960227,9064930,9157731,9244018,9341084,9444852,9565297,9675755,9789254,9896271,10019929,10159956,10353814,10572156,10798554,10968398,11119680,11313314,11504656,11668306,11826934,12005031,12202290,12387923,12572523,12726843,12744892,12907891,13226767
Austria,AUT,"Population, male",SP.POP.TOTL.MA.IN,3282648,3302795,3325793,3350571,3376780,3403787,3433917,3465941,3487886,3502537,3517964,3537464,3562777,3587564,3594195,3580805,3572880,3575163,3572650,3566276,3567435,3580524,3586663,3583143,3585911,3591378,3598396,3605608,3616056,3639012,3675414,3721201,3769751,3806948,3825963,3834055,3840488,3846097,3852021,3862035,3874612,3894042,3918315,3940967,3968539,3999420,4022015,4036049,4049474,4061388,4072366,4088322,4110714,4139328,4177739,4236391,4292484,4325497,4347840,4368019,4386847,4406456,4449465,4494691
Azerbaijan,AZE,"Population, male",SP.POP.TOTL.MA.IN,1842740,1918256,1980238,2043714,2116849,2184945,2251973,2314194,2372719,2430335,2484994,2540665,2595172,2646793,2697409,2745586,2788921,2829606,2870977,2914827,2961623,3012620,3065174,3119117,3171059,3214797,3256706,3300087,3346359,3399314,3449830,3499175,3554578,3610338,3650605,3674347,3694179,3712724,3730025,3756249,3793539,3830440,3866571,3903101,3945223,3994600,4047790,4102912,4198756,4294399,4352435,4416337,4482635,4548349,4612413,4674067,4737324,4798347,4852143,4900577,4936921,4961161,4966581,4975494
Burundi,BDI,"Population, male",SP.POP.TOTL.MA.IN,1336288,1371997,1408782,1440089,1483359,1526271,1564626,1606357,1646592,1684026,1722221,1765972,1764218,1759612,1805481,1852488,1895949,1946925,2005844,2057930,2148515,2240110,2298146,2362044,2421279,2475282,2523117,2582319,2640284,2692627,2750135,2808318,2885410,2793450,2811034,2987231,2988738,2987957,3046083,3120819,3186803,3267954,3362193,3471560,3605444,3744034,3883501,4032117,4204483,4426023,4641033,4812401,4989576,5174376,5355162,5479352,5575483,5709445,5886059,6084180,6264949,6438864,6616267,6799975
Belgium,BEL,"Population, male",SP.POP.TOTL.MA.IN,4483448,4495485,4512235,4546331,4589703,4631641,4663001,4688957,4707135,4719902,4724134,4732198,4749707,4763572,4777732,4790869,4798712,4803854,4807693,4811658,4816500,4815710,4813986,4813548,4813302,4814366,4816303,4821014,4836747,4855131,4870370,4889735,4911505,4931962,4947520,4956748,4965281,4977197,4988157,4999840,5011966,5030117,5054613,5077084,5099315,5127655,5162632,5202598,5246271,5293207,5347692,5421180,5456715,5483424,5508955,5546695,5579303,5601766,5629590,5663142,5690995,5713093,5756528,5810299
Benin,BEN,"Population, male",SP.POP.TOTL.MA.IN,1192304,1213677,1236778,1261327,1287274,1314605,1343249,1373149,1404322,1436795,1470680,1506061,1543013,1581552,1621681,1663597,1707453,1753305,1801140,1851524,1905156,1961925,2021254,2082564,2146091,2212187,2280915,2352526,2427113,2504483,2584695,2667883,2753956,2882269,2995311,3061771,3145946,3243554,3348412,3456727,3567832,3681640,3798523,3919530,4044950,4179151,4313689,4447216,4587507,4730891,4877876,5028977,5184260,5343394,5507544,5676385,5848391,6022608,6197560,6372298,6546526,6720675,6896459,7074605
Burkina Faso,BFA,"Population, male",SP.POP.TOTL.MA.IN,2430840,2459689,2489327,2520212,2552887,2587933,2624657,2663054,2703488,2744961,2787666,2830232,2873414,2919605,2970412,3026607,3088615,3159265,3237671,3321620,3411581,3505992,3604389,3709019,3819291,3932740,4046088,4158370,4271582,4386593,4503814,4618195,4731288,4848755,4971592,5100223,5231545,5367626,5520905,5690962,5870057,6059631,6258423,6465522,6681034,6903047,7128374,7351309,7571230,7795583,8027268,8269076,8525150,8787755,9056087,9332364,9614040,9897120,10170922,10433333,10693067,10953636,11211359,11468763
