Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Armenia,ARM,"Population ages 15-64, total",SP.POP.1564.TO,1058992,1076551,1100833,1131224,1165017,1200733,1238427,1277798,1318536,1360278,1402490,1447373,1497090,1551185,1609143,1670157,1741597,1822513,1903846,1962804,1996349,2025323,2050358,2071694,2092669,2114258,2134580,2153481,2166806,2226190,2294979,2322503,2260140,2138495,2054873,2008317,1992393,1978089,1982415,2003296,2080634,2106251,2118086,2121474,2124209,2128544,2134740,2141106,2143431,2139655,2130464,2119504,2113179,2104521,2089719,2072031,2050742,2029303,2014073,2004252,1998643,1995138,1995964,2011189
American Samoa,ASM,"Population ages 15-64, total",SP.POP.1564.TO,9703,10060,10467,10863,11249,11625,11994,12365,12765,13200,13636,14045,14434,14805,15178,15614,16107,16617,17136,17660,18286,19069,19922,20797,21694,22613,23543,24483,25446,26430,27269,27905,28487,29062,29632,30196,30763,31344,31945,32561,33018,33233,33346,33411,33461,33520,33590,33677,33751,33786,33867,33982,33984,33843,33609,33323,33011,32681,32331,31953,31828,31722,31340,30859
Antigua and Barbuda,ATG,"Population ages 15-64, total",SP.POP.1564.TO,31181,31700,32074,32407,32495,32408,32386,32404,32500,32708,33182,33772,34239,34666,35130,35674,36291,36950,37615,38260,38877,39451,39976,40464,40644,40403,40037,39682,39319,38947,38614,38910,39901,40974,42035,43123,44233,45361,46483,47574,48604,49567,50494,51395,52317,53344,54429,55544,56689,57831,58949,60004,60988,61855,62576,63239,63799,64229,64632,64978,65239,65455,65636,65829
Australia,AUS,"Population ages 15-64, total",SP.POP.1564.TO,6296003,6421575,6593630,6737665,6887141,7042900,7227503,7345848,7505805,7687760,7858900,8147343,8316778,8469457,8720491,8866436,8997284,9142845,9290331,9426194,9569919,9745671,9943831,10113714,10273063,10450551,10643016,10841586,11045265,11248032,11417235,11552182,11667053,11757630,11862796,11994523,12145877,12287429,12421783,12571957,12731716,12911186,13077545,13249215,13409185,13589360,13787508,14051988,14345413,14641855,14849809,15016663,15223747,15426531,15599389,15765573,15956700,16174820,16375200,16567398,16698064,16651179,16828565,17217866
Austria,AUT,"Population ages 15-64, total",SP.POP.1564.TO,4632790,4617283,4615340,4620516,4619218,4614923,4613853,4615542,4608872,4598002,4597244,4610968,4639951,4675775,4693569,4691771,4707216,4741200,4772043,4801524,4845754,4914022,4978338,5031954,5080576,5107810,5121106,5126187,5129013,5147799,5184521,5231713,5282884,5318242,5328494,5328594,5334660,5346033,5360210,5382164,5409304,5446203,5489756,5530330,5560036,5576283,5585717,5596898,5614542,5627722,5646956,5674265,5695316,5717663,5752623,5810894,5865273,5892111,5906127,5917299,5924102,5926631,5955333,5984348
Azerbaijan,AZE,"Population ages 15-64, total",SP.POP.1564.TO,2142181,2162796,2178456,2208258,2257182,2308353,2365089,2424810,2489631,2562083,2640152,2728004,2823788,2925530,3034095,3146440,3269355,3403815,3548076,3673522,3770714,3868111,3957867,4040101,4121788,4197842,4270423,4343556,4401304,4436270,4463277,4498445,4549082,4602395,4659313,4720767,4787329,4863689,4952557,5054565,5161625,5272240,5383775,5496492,5611377,5731548,5856652,5984751,6177345,6373325,6501079,6613237,6696748,6748009,6789151,6827112,6858684,6892389,6944840,6999514,7037597,7066823,7066358,7071725
Burundi,BDI,"Population ages 15-64, total",SP.POP.1564.TO,1428995,1464099,1499346,1524015,1567634,1615776,1661387,1709929,1753968,1791523,1829244,1875332,1853441,1831750,1886318,1936496,1977826,2030761,2094739,2141899,2252844,2358667,2400320,2451354,2493247,2525790,2548227,2591960,2634532,2666469,2708170,2754752,2836890,2633752,2644986,2931922,2906205,2888633,2979245,3096190,3192259,3309137,3439242,3585695,3764026,3937097,4098649,4264074,4461529,4712910,4934739,5087713,5241058,5398248,5549106,5604766,5621315,5722831,5915241,6158467,6385254,6614858,6863730,7135621
Belgium,BEL,"Population ages 15-64, total",SP.POP.1564.TO,5888148,5882600,5890025,5922386,5962361,5997577,6020656,6040459,6059341,6076190,6083539,6098170,6128949,6162223,6204436,6250852,6293694,6330714,6364067,6399412,6441355,6486049,6536403,6590093,6629971,6648128,6653744,6656644,6667383,6675272,6673167,6673751,6681402,6693163,6702285,6703399,6702908,6706041,6708631,6714997,6723639,6743105,6774350,6804774,6835118,6878738,6941221,7010765,7073147,7126659,7184817,7260019,7278246,7286098,7290315,7310530,7326984,7330451,7341283,7362072,7381890,7399545,7440659,7492555
Benin,BEN,"Population ages 15-64, total",SP.POP.1564.TO,1381055,1397667,1414517,1432394,1450863,1469919,1490292,1511900,1534979,1559566,1585816,1613837,1643846,1676113,1710816,1748202,1788879,1832901,1879740,1929310,1981583,2036394,2093565,2153088,2215200,2280203,2348262,2419521,2493942,2572034,2653963,2739364,2828416,2988665,3116672,3162772,3243584,3347989,3464031,3585673,3711844,3841967,3976037,4114321,4256048,4412221,4564243,4707296,4861732,5026063,5196317,5367167,5540624,5716400,5897855,6085290,6276666,6473084,6675407,6883869,7097998,7317569,7542523,7771772
Burkina Faso,BFA,"Population ages 15-64, total",SP.POP.1564.TO,2747962,2785571,2820947,2849261,2872487,2897864,2925459,2955046,2987102,3020684,3056273,3091856,3127963,3167063,3210728,3259410,3313502,3376130,3445011,3517667,3595921,3678059,3763704,3856147,3953568,4051913,4148014,4242282,4338956,4440020,4546053,4650295,4756589,4874684,5004854,5144774,5288625,5439381,5614064,5812466,6023045,6246056,6479367,6718883,6963916,7212515,7457580,7690815,7912586,8135226,8365552,8609159,8873257,9150555,9441546,9749391,10072902,10408352,10748639,11096847,11466274,11856355,12253251,12659120
